name,review_count,categories,latitude,longitude,rating,price,neighbourhood,city,address
Twisters Soft Serve Ice Cream,27,Ice Cream & Frozen Yogurt,40.46472,-79.95412,4.0,$,Shadyside,Pittsburgh,"4210 Main St,Pittsburgh, PA 15224"
Blue Slide Park,14,Parks,40.4299829701493,-79.9141792953014,5.0,$,Shadyside,Pittsburgh,"2005 Beechwood Blvd,at Nicholson St,Pittsburgh, PA 15217"
Ege Mediterranean,8,"Turkish,Pizza,Gluten-Free",40.44956,-79.95044,5.0,$,Shadyside,Pittsburgh,"190 N Craig St,Pittsburgh, PA 15213"
Frankie's Extra Long,29,Sandwiches,40.46497,-79.96583,4.5,$,Shadyside,Pittsburgh,"3535 Butler St,Pittsburgh, PA 15201"
Tai Pei,106,"Chinese,Taiwanese,Sushi Bars",40.487652925642,-79.880616356427,3.5,$$,Shadyside,Pittsburgh,"1124 Freeport Rd,Pittsburgh, PA 15238"
Szechuan Express,93,Szechuan,40.4417932,-79.9571431,3.0,$,Shadyside,Pittsburgh,"125 Oakland Ave,Pittsburgh, PA 15213"
Ichiban Hibachi Steakhouse,98,"Japanese,Steakhouses,Sushi Bars",40.487236,-79.8861237,3.5,$$,Shadyside,Pittsburgh,"983 Freeport Rd,Pittsburgh, PA 15238"
Reed & Co,33,"Juice Bars & Smoothies,Coffee & Tea,Burgers",40.4699783325195,-79.9612197875977,4.5,$,Shadyside,Pittsburgh,"4113 Butler St,Pittsburgh, PA 15201"
Mia Pizza,43,"Pizza,Italian",40.4546333,-79.9465557,3.0,$,Shadyside,Pittsburgh,"4901 Baum Blvd,Pittsburgh, PA 15213"
Sahara Restaurant & Grill,34,"Mediterranean,Turkish,Middle Eastern",40.43953,-79.89725,4.5,$$,Shadyside,Pittsburgh,"7600 Forbes Ave,Pittsburgh, PA 15221"
Clemente Museum,19,Museums,40.46251,-79.96787,4.5,$,Shadyside,Pittsburgh,"3339 Penn Ave,Pittsburgh, PA 15201"
Poulet Bleu,261,"French,Wine Bars",40.464462,-79.966263,4.5,$$$,Shadyside,Pittsburgh,"3517 Butler St,Pittsburgh, PA 15201"
Thai Terrace,30,Thai,40.43035,-79.88411,4.5,$$,Shadyside,Pittsburgh,"247 Edgewood Ave,Pittsburgh, PA 15218"
Smallman Street Deli,51,"Delis,Breakfast & Brunch,Sandwiches",40.45805,-79.97517,4.0,$,Shadyside,Pittsburgh,"2840 Smallman St,Pittsburgh, PA 15222"
Blue Moon,37,Gay Bars,40.4788818359375,-79.9556732177734,4.0,$,Shadyside,Pittsburgh,"5115 Butler St,Pittsburgh, PA 15201"
GoodFellas Restaurant & Tavern,26,"American (Traditional),Cocktail Bars",40.422497,-79.8873228,4.5,$$,Shadyside,Pittsburgh,"1915 McCague St,Pittsburgh, PA 15218"
Starbucks,18,Coffee & Tea,40.455795,-79.939479,3.0,$,Shadyside,Pittsburgh,"5310 Liberty Ave,Pittsburgh, PA 15224"
Thunderbird Cafe,49,"American (Traditional),Music Venues,Bars",40.469438,-79.961607,4.0,$,Shadyside,Pittsburgh,"4023 Butler St,Pittsburgh, PA 15201"
Klvn Coffee Lab,11,Coffee & Tea,40.4578875086069,-79.9106537441925,4.5,$$$,Shadyside,Pittsburgh,"6600 Hamilton Ave,Fl 1,Pittsburgh, PA 15206"
Sugar & Spice,39,"Ice Cream & Frozen Yogurt,Candy Stores,Food Trucks",40.34428,-79.9723999,4.0,$,Shadyside,Pittsburgh,"5200 Clairton Blvd,Pittsburgh, PA 15236"
Remedy Restaurant and Lounge,56,"American (New),Dive Bars",40.479006,-79.955536,3.5,$,Shadyside,Pittsburgh,"5121 Butler St,Pittsburgh, PA 15201"
Crazy Mocha,40,Coffee & Tea,40.43348,-79.9233,3.5,$,Shadyside,Pittsburgh,"2100 Murray Ave,Pittsburgh, PA 15217"
J Gough's Tavern,25,Pubs,40.42274,-79.92855,4.5,$$,Shadyside,Pittsburgh,"4213 Murray Ave,Pittsburgh, PA 15217"
Frick Park Tavern,29,"American (New),Bars,Tapas/Small Plates",40.432619,-79.89416,4.0,$$,Shadyside,Pittsburgh,"1100 S Braddock Ave,Pittsburgh, PA 15218"
Armand's Bar,26,"Sandwiches,Bars",40.46149,-79.94816,3.5,$,Shadyside,Pittsburgh,"4755 Liberty Ave,Pittsburgh, PA 15224"
Noodles & Company,77,"Noodles,Salad,Pasta Shops",40.44183,-79.95684,3.0,$,Shadyside,Pittsburgh,"3805 Forbes Ave,Pittsburgh, PA 15213"
Golden Palace Buffet,55,"Chinese,Buffets",40.44084,-79.95824,3.5,$,Shadyside,Pittsburgh,"3607 Forbes Ave,Pittsburgh, PA 15213"
Emiliano’s Mexican Restaurant & Bar,18,"Mexican,Cocktail Bars",40.453766,-79.947335,3.5,$,Shadyside,Pittsburgh,"4815 Centre Ave,Ste 101,Pittsburgh, PA 15213"
